video_id,titolo,canale,keyword,region,views_now,likes_now,comments_now,er_now,estrazione_dt,views_prev,likes_prev,comments_prev,er_prev,Δviews_%,Δlikes_%,ΔER_%
bw-o9WRyCxI,The Brand NEW AI Marketing Strategy for 2025,Marketing Against the Grain,ai digital marketing 2025,NONE,8503,221,50,3.19,2025-10-30 17:36:23,,,,,0.0,0.0,0.0
cVY49L9xkV8,TOP 7 AI Crypto Indicators That Actually Work (2025) 🚀,Finova XAI,neural marketing ai 2025,IT,44,5,3,18.182,,,,,,0.0,0.0,0.0
fD372utYVVU,5 Best AI Tools for Small Businesses in 2025,Ryan Doser,small business ai tools,NONE,10546,165,46,2.0,2025-10-30 17:42:24,,,,,0.0,0.0,0.0
h2FDq3agImI,How I'd Learn AI in 2025 (if I could start over),Dave Ebbelaar,neural marketing ai 2025,IT,1817968,52438,973,2.938,,,,,,0.0,0.0,0.0
kkYQ0y9CGTU,"I Tested 500+ AI Tools, These 10 Will Make You Rich",Dan Martell,small business ai tools,NONE,701292,28626,1329,4.27,2025-10-30 17:42:24,,,,,0.0,0.0,0.0
lOW7TzvTWHw,This is how AI is changing marketing forever,Learn With Shopify,marketing ai,NONE,176843,4854,50,2.77,2025-10-30 17:11:13,,,,,0.0,0.0,0.0
mZWJCjhZanQ,The Only Facebook Ads Tutorial You Need for 2025,Neil Patel,facebook marketing 2025,US,150242,3674,234,2.6,,,,,,0.0,0.0,0.0
nkuPUJVzB_E,"How To Use AI to Start, Build & Grow Your Small Business (20 AI Marketing Tools!)",HubSpot Marketing,small business ai tools,NONE,118369,5112,157,4.45,2025-10-30 17:42:24,,,,,0.0,0.0,0.0
q7PLrreN29Q,10 Marketing Trends You NEED to Know for 2026,Leveling Up with Eric Siu,marketing ai,NONE,19510,536,13,2.81,2025-10-30 17:11:13,,,,,0.0,0.0,0.0
rWhmrxOFtaA,Facebook Ads Tutorial - 2025 FREE COURSE for Beginners,Davie Fogarty,facebook marketing 2025,US,956735,29551,6046,3.72,,,,,,0.0,0.0,0.0
sDkd5he7LsA,"AI Breakthroughs in 2025: Cancer Detection, ER Efficiency &amp; ChatGPT-5 Marketing Surge!",Trendify,neural marketing ai 2025,US,103,5,0,4.85,,,,,,0.0,0.0,0.0
uUlU5G1Nda0,Facebook Ads For Beginners: Complete Guide (2025),The Koerner Office Podcast - Full Episodes,facebook marketing 2025,US,71743,2703,154,3.98,,,,,,0.0,0.0,0.0
uuw_X4LkHYg,Top 10 AI Tools Every Small Business Needs,Ai Expert Reviews,small business ai tools,NONE,1732,5,0,0.29,2025-10-30 17:42:24,,,,,0.0,0.0,0.0
x-4R38Wdp_o,15 AI Tools That Will Make You $1M (With Zero Employees),Dan Martell,small business ai tools,NONE,1079646,36621,1637,3.54,2025-10-30 17:42:24,,,,,0.0,0.0,0.0
yO9yQmEZF7Y,Start an AI Digital Marketing Agency in 2025 (NO EXPERIENCE!),Jason Wardrop,ai digital marketing 2025,NONE,3863,201,58,6.7,2025-10-30 17:36:23,,,,,0.0,0.0,0.0
yYOtMdRPwLE,7 AI Marketing Trends That Will Transform Your Business in 2025 | HubSpot Report,HubSpot Marketing,ai digital marketing 2025,NONE,12612,549,23,4.54,2025-10-30 17:36:23,,,,,0.0,0.0,0.0
yji0MDtW040,Learn Facebook Ads in 2025 | Step-by-Step Facebook Marketing Tutorial for Beginners,Core Creative,facebook marketing 2025,US,47,6,1,14.89,,,,,,0.0,0.0,0.0
zjgnQ0__KeQ,Top 5 AI Tools for your business,Dan Martell,small business ai tools,NONE,448762,19172,136,4.3,2025-10-30 17:42:24,,,,,0.0,0.0,0.0
zqHH39utmoI,The COMPLETE Facebook Ads Tutorial (2025),Learn With Shopify,facebook marketing 2025,US,116461,3259,121,2.9,,,,,,0.0,0.0,0.0
